gene_a,gene_b,condition,interaction,user_question,full_query
AVT6,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when both AVT6 and RPD3 are simultaneously mutated, how does exposure to dimethyl sulfate influence their interplay?","In Saccharomyces cerevisiae, when both AVT6 and RPD3 are simultaneously mutated, how does exposure to dimethyl sulfate influence their interplay?"
RPL14A,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both RPL14A and RAD23 are concurrently mutated and cells are treated with dimethyl sulfate, what synthetic genetic interaction can be observed?","In Saccharomyces cerevisiae, when both RPL14A and RAD23 are concurrently mutated and cells are treated with dimethyl sulfate, what synthetic genetic interaction can be observed?"
RPL14A,HO,DMS,non-sl,"In Saccharomyces cerevisiae engineered with concurrent mutations in RPL14A and HO, how does treatment with dimethyl sulfate affect the overall genetic interplay between these alterations?","In Saccharomyces cerevisiae engineered with concurrent mutations in RPL14A and HO, how does treatment with dimethyl sulfate affect the overall genetic interplay between these alterations?"
YOR020W-A,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae with a concurrent alteration in YOR020W-A and RAD23, how does the cell's response change when exposed to dimethyl sulfate?","In Saccharomyces cerevisiae with a concurrent alteration in YOR020W-A and RAD23, how does the cell's response change when exposed to dimethyl sulfate?"
NOT5,RAD9,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the genetic interplay between concurrent mutations in NOT5 and RAD9 manifest when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the genetic interplay between concurrent mutations in NOT5 and RAD9 manifest when the cells are exposed to dimethyl sulfate?"
NOT5,ELG1,DMS,non-sl,"In Saccharomyces cerevisiae cultured with dimethyl sulfate, what cellular phenotype arises from the concurrent mutation of NOT5 and ELG1 in terms of their synthetic genetic interaction?","In Saccharomyces cerevisiae cultured with dimethyl sulfate, what cellular phenotype arises from the concurrent mutation of NOT5 and ELG1 in terms of their synthetic genetic interaction?"
YFR035C,RAD9,DMS,non-sl,"In Saccharomyces cerevisiae, I have developed a strain harboring mutations in both YFR035C and RAD9 and subjected it to dimethyl sulfate treatment. Could you explain the resulting synthetic genetic interaction observed under these experimental conditions?","In Saccharomyces cerevisiae, I have developed a strain harboring mutations in both YFR035C and RAD9 and subjected it to dimethyl sulfate treatment. Could you explain the resulting synthetic genetic interaction observed under these experimental conditions?"
BDF2,SET2,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both BDF2 and SET2 are mutated and the cells are subjected to dimethyl sulfate, what type of genetic interplay do you observe?","In Saccharomyces cerevisiae, when both BDF2 and SET2 are mutated and the cells are subjected to dimethyl sulfate, what type of genetic interplay do you observe?"
BDF2,CDC73,DMS,non-sl,"In Saccharomyces cerevisiae cells subjected to dimethyl sulfate treatment, how does the concurrent mutation in BDF2 and CDC73 affect cellular behavior?","In Saccharomyces cerevisiae cells subjected to dimethyl sulfate treatment, how does the concurrent mutation in BDF2 and CDC73 affect cellular behavior?"
BUD17,SET2,DMS,non-sl,"In Saccharomyces cerevisiae, when both BUD17 and SET2 are concurrently inactivated and the cells are exposed to dimethyl sulfate, what kind of synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae, when both BUD17 and SET2 are concurrently inactivated and the cells are exposed to dimethyl sulfate, what kind of synthetic genetic interaction emerges under these conditions?"
CAF120,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when cells simultaneously lack both CAF120 and RPD3 and are exposed to dimethyl sulfate, what kind of synthetic interaction do you observe in terms of cellular response?","In Saccharomyces cerevisiae, when cells simultaneously lack both CAF120 and RPD3 and are exposed to dimethyl sulfate, what kind of synthetic interaction do you observe in terms of cellular response?"
CAF120,LST7,DMS,non-sl,"In Saccharomyces cerevisiae, when cells harbor mutations in both CAF120 and LST7 and are exposed to dimethyl sulfate, how do the genetic alterations combine to affect cellular behavior?","In Saccharomyces cerevisiae, when cells harbor mutations in both CAF120 and LST7 and are exposed to dimethyl sulfate, how do the genetic alterations combine to affect cellular behavior?"
TPM2,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of TPM2 and RPD3 affect genetic interactions when the cells are exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the simultaneous mutation of TPM2 and RPD3 affect genetic interactions when the cells are exposed to dimethyl sulfate?"
AFG1,MSH6,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells with concurrent mutations in AFG1 and MSH6, cultured in the presence of dimethyl sulfate, what synthetic genetic interaction is typically observed?","In Saccharomyces cerevisiae cells with concurrent mutations in AFG1 and MSH6, cultured in the presence of dimethyl sulfate, what synthetic genetic interaction is typically observed?"
AFG1,BDF1,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, we have engineered a strain carrying mutations in both AFG1 and BDF1. Could you explain the nature of the synthetic genetic interaction observed under these conditions?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, we have engineered a strain carrying mutations in both AFG1 and BDF1. Could you explain the nature of the synthetic genetic interaction observed under these conditions?"
ATH1,MSH6,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the simultaneous mutation of ATH1 and MSH6 manifest in terms of synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the simultaneous mutation of ATH1 and MSH6 manifest in terms of synthetic genetic interaction?"
NPR1,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, I have established a strain carrying mutations in both NPR1 and RPD3. When these cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, I have established a strain carrying mutations in both NPR1 and RPD3. When these cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?"
NPR1,DNL4,DMS,non-sl,"In Saccharomyces cerevisiae, when both NPR1 and DNL4 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe under these experimental conditions?","In Saccharomyces cerevisiae, when both NPR1 and DNL4 are concurrently mutated and cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe under these experimental conditions?"
YKR015C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when we generate a strain with concurrent mutations in YKR015C and RPD3 and expose it to dimethyl sulfate, what synthetic genetic interaction is observed under these conditions?","In Saccharomyces cerevisiae, when we generate a strain with concurrent mutations in YKR015C and RPD3 and expose it to dimethyl sulfate, what synthetic genetic interaction is observed under these conditions?"
CAT5,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of CAT5 and RPD3 affect cellular response when exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the concurrent mutation of CAT5 and RPD3 affect cellular response when exposed to dimethyl sulfate?"
CAT5,ELC1,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of CAT5 and ELC1 influence cellular behavior, particularly regarding any synthetic genetic interaction?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of CAT5 and ELC1 influence cellular behavior, particularly regarding any synthetic genetic interaction?"
STI1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do mutations in STI1 and RPD3 collectively influence the genetic interaction profile?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do mutations in STI1 and RPD3 collectively influence the genetic interaction profile?"
YDR230W,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, what phenotype results from the simultaneous mutation of YDR230W and RPD3?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, what phenotype results from the simultaneous mutation of YDR230W and RPD3?"
YDR230W,SSM4,DMS,non-sl,"In Saccharomyces cerevisiae, when both YDR230W and SSM4 are concurrently inactivated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe between these mutations?","In Saccharomyces cerevisiae, when both YDR230W and SSM4 are concurrently inactivated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction do you observe between these mutations?"
RGM1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, when cells harbor mutations in both RGM1 and RPD3 and are exposed to dimethyl sulfate, what genetic interplay is observed between these alterations?","In Saccharomyces cerevisiae, when cells harbor mutations in both RGM1 and RPD3 and are exposed to dimethyl sulfate, what genetic interplay is observed between these alterations?"
UTR2,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when a strain harbors concurrent mutations in UTR2 and RAD23 and is exposed to dimethyl sulfate, what synthetic genetic outcome would you anticipate?","In Saccharomyces cerevisiae, when a strain harbors concurrent mutations in UTR2 and RAD23 and is exposed to dimethyl sulfate, what synthetic genetic outcome would you anticipate?"
UTR2,ELC1,DMS,non-sl,"In Saccharomyces cerevisiae, with concurrent mutations in UTR2 and ELC1 and exposure to dimethyl sulfate, what overall genetic interaction is observed?","In Saccharomyces cerevisiae, with concurrent mutations in UTR2 and ELC1 and exposure to dimethyl sulfate, what overall genetic interaction is observed?"
YGR015C,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae undergoing treatment with dimethyl sulfate, how does the concurrent mutation of YGR015C and RAD23 influence the overall genetic interaction?","In Saccharomyces cerevisiae undergoing treatment with dimethyl sulfate, how does the concurrent mutation of YGR015C and RAD23 influence the overall genetic interaction?"
MRPL32,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent disruption of MRPL32 and RPD3 affect cellular responses, and what insights can be drawn about their genetic interplay under these specific conditions?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent disruption of MRPL32 and RPD3 affect cellular responses, and what insights can be drawn about their genetic interplay under these specific conditions?"
MRPL32,TEL1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the synthetic genetic landscape shift when both MRPL32 and TEL1 are concurrently mutated during exposure to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the synthetic genetic landscape shift when both MRPL32 and TEL1 are concurrently mutated during exposure to dimethyl sulfate?"
SSK1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the concurrent mutation of SSK1 and RPD3 influence the overall genetic interaction profile?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the concurrent mutation of SSK1 and RPD3 influence the overall genetic interaction profile?"
